Model	scenario	demo	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
two_ep_ae_b	two_ep	AEB	Round_3_Replicate_1	-466.0461	954.0922	58.9646	975.6928	0.0566,1.6552,2.6665,0.0278,3.2695,1.3219,0.1011,1.4633,0.0067,23.9961,17.2923
AM_ae	AM	AE	Round_4_Replicate_14	-469.0969	954.1938	65.7204	105.6952	9.6655,13.1001,15.3394,4.3563,0.6905,0.0016,3.9444,0.6307
two_ep	two_ep	basic	Round_3_Replicate_11	-469.1015	954.203	66.5222	72.0024	23.2237,13.739,7.7909,0.1903,1.8998,0.0047,0.8263,3.682
two_ep	two_ep	basic	Round_4_Replicate_6	-469.1261	954.2522	66.3007	89.636	18.6785,11.1881,6.024,0.1579,2.426,0.0002,1.0137,4.4068
two_ep	two_ep	basic	Round_4_Replicate_4	-469.1367	954.2734	66.558	88.8754	18.7919,11.3274,6.0597,0.1771,2.4502,0.0006,1.2628,3.9701
two_ep_ae_b	two_ep	AEB	Round_2_Replicate_1	-466.169	954.338	58.9048	1104.5336	0.152,1.3706,2.1252,0.0784,1.5101,0.6747,0.0903,1.028,0.051,31.1746,15.3805
two_ep	two_ep	basic	Round_4_Replicate_20	-469.2805	954.561	67.013	86.6499	20.0555,11.3168,6.3264,0.108,2.3118,0.0276,0.021,6.1088
IM_b	IM	B	Round_4_Replicate_8	-471.6245	955.249	70.9171	66.482	18.273,26.2471,0.258,9.4734,2.911,0.0604
IM_b	IM	B	Round_4_Replicate_7	-471.6262	955.2524	70.8923	66.7479	18.2941,25.7594,0.2543,9.4301,2.9145,0.0818
IM_b	IM	B	Round_4_Replicate_17	-471.628	955.256	70.8458	71.0648	17.0814,24.4815,0.2651,8.7739,3.1121,0.0654
IM_b	IM	B	Round_4_Replicate_10	-471.6287	955.2574	70.9703	70.422	17.2825,24.477,0.2564,8.8735,3.0817,0.0873
IM_b	IM	B	Round_2_Replicate_12	-471.6298	955.2596	70.8384	75.871	16.0507,22.8463,0.2639,8.157,3.3162,0.079
IM_b	IM	B	Round_4_Replicate_6	-471.6299	955.2598	70.842	72.7688	16.7525,24.0189,0.2607,8.5835,3.1877,0.0616
IM_b	IM	B	Round_4_Replicate_3	-471.6312	955.2624	70.9785	65.7891	18.5414,26.706,0.2607,9.5812,2.8836,0.0452
IM_b	IM	B	Round_4_Replicate_8	-471.6319	955.2638	70.8763	76.4566	15.9486,22.7393,0.2601,8.0958,3.3328,0.0793
AM_ae	AM	AE	Round_4_Replicate_17	-469.6731	955.3462	66.4985	93.4035	10.9351,13.769,19.9509,5.0599,0.8064,0.0012,3.8644,0.0016
AM_ae_b	AM	AEB	Round_4_Replicate_17	-469.1925	956.385	66.1954	73.807	13.6183,20.1014,52.3708,0.9878,6.7348,0.992,0.0117,2.6968,0.7435
AM_ae_b	AM	AEB	Round_4_Replicate_17	-469.2135	956.427	65.9	92.4725	10.993,16.1826,68.1412,0.9949,5.1619,0.7723,0.0117,3.3979,0.8484
AM_ae_b	AM	AEB	Round_4_Replicate_2	-469.2976	956.5952	66.0939	120.9921	8.5743,12.3384,86.7709,0.9977,3.6543,0.5834,0.0116,4.5934,1.051
two_ep_b	two_ep	B	Round_2_Replicate_5	-469.5208	957.0416	66.4727	116.4738	10.6094,18.1291,0.4756,2.3607,2.008,0.4471,3.4984,4.8438,0.0115
two_ep_b	two_ep	B	Round_2_Replicate_2	-469.5415	957.083	66.5665	88.0325	13.9528,24.0117,0.4647,3.373,2.7497,0.6066,2.4988,3.6678,0.0
SC_ae_b	SC	AEB	Round_4_Replicate_4	-469.6	957.2	67.5041	3260.097	0.0095,0.3613,0.6454,0.7805,0.2328,0.1543,0.0369,141.6655,2.8551
SC_ae_b	SC	AEB	Round_4_Replicate_6	-469.6085	957.217	67.2798	4619.1603	0.0024,0.2573,0.4589,0.7692,2.7126,0.1114,0.0284,198.736,2.8423
AM_ae	AM	AE	Round_4_Replicate_4	-470.6115	957.223	69.9573	126.099	8.4562,14.4403,11.9255,3.5331,0.4395,0.0406,6.4823,2.331
two_ep	two_ep	basic	Round_4_Replicate_14	-470.6787	957.3574	68.6001	162.0934	6.7565,11.3544,2.3914,0.4364,0.002,199.7331,7.1917,0.2487
two_ep	two_ep	basic	Round_4_Replicate_18	-470.6872	957.3744	68.6286	169.4857	6.4957,10.7696,2.2301,0.4183,0.0128,199.1508,7.5124,0.2766
two_ep	two_ep	basic	Round_4_Replicate_19	-470.7064	957.4128	68.6449	168.44	6.5119,10.8584,2.2548,0.4203,0.1593,196.5046,7.5037,0.2722
two_ep_ae_b	two_ep	AEB	Round_1_Replicate_20	-467.866	957.732	62.6627	140.4727	2.4362,11.5223,13.4601,0.0864,0.5111,2.2935,0.7298,0.3364,5.2435,3.3253,2.4378
two_ep_ae	two_ep	AE	Round_4_Replicate_1	-468.9957	957.9914	65.6164	78.8652	11.8253,17.8407,21.5393,5.8857,0.5344,0.6788,9.3157,196.7498,2.8607,0.3665
two_ep_ae	two_ep	AE	Round_3_Replicate_18	-469.0074	958.0148	65.4372	68.2846	14.7019,20.4022,23.4658,7.3774,1.0826,0.0011,2.4889,0.4358,0.0072,0.0083
IM_b	IM	B	Round_4_Replicate_14	-473.0144	958.0288	73.1976	317.3958	3.8291,5.4236,0.0099,4.3734,13.5833,1.1515
IM_b	IM	B	Round_4_Replicate_14	-473.0144	958.0288	73.1672	1445.8925	0.8432,1.1857,0.0076,1.0111,61.7574,5.3557
SC_ae_b	SC	AEB	Round_1_Replicate_6	-470.5089	959.0178	68.6482	115.9982	2.4854,10.0988,18.6591,0.7972,0.3494,3.3434,0.9242,4.7666,0.1107
two_ep_ae_b	two_ep	AEB	Round_2_Replicate_6	-468.5098	959.0196	64.6241	108.847	24.554,12.42,17.2914,0.2638,0.2533,2.8598,1.6275,0.1074,32.3149,3.7902,0.836
IM_ae_b	IM	AEB	Round_3_Replicate_9	-471.6012	959.2024	70.7761	410.0291	0.0097,2.9653,4.2283,0.2116,9.9,1.7102,17.9123,0.4189
IM_ae_b	IM	AEB	Round_3_Replicate_18	-471.6017	959.2034	70.7741	530.7765	0.0057,2.3005,3.2526,0.2076,1.0907,1.326,23.1845,0.595
IM_ae_b	IM	AEB	Round_4_Replicate_3	-471.6021	959.2042	70.8161	493.0767	0.015,2.4585,3.5302,0.213,0.6154,1.4175,21.6328,0.4792
IM_ae_b	IM	AEB	Round_4_Replicate_15	-471.6043	959.2086	70.8487	875.2198	0.0055,1.3909,1.9973,0.2081,8.5727,0.8028,38.261,0.7918
IM_ae_b	IM	AEB	Round_4_Replicate_19	-471.6049	959.2098	70.6383	1353.8947	0.0116,0.8961,1.2766,0.2178,6.593,0.51,59.1061,1.4668
IM_ae_b	IM	AEB	Round_4_Replicate_9	-471.6105	959.221	70.882	2219.4725	0.0162,0.5499,0.7822,0.2238,0.9405,0.3016,96.7967,2.4577
AM_ae_b	AM	AEB	Round_4_Replicate_9	-470.9051	959.8102	70.1349	135.0492	7.4043,16.9287,99.5557,0.2495,3.1389,0.4678,0.0797,12.4223,20.9686
SC_b	SC	B	Round_4_Replicate_5	-473.0142	960.0284	73.1721	2146.903	0.5652,0.8014,0.0054,1.0297,0.725,91.9023,7.8332
AM_b	AM	B	Round_4_Replicate_18	-473.0618	960.1236	73.8628	220.4195	12.1517,98.2357,0.3969,1.5913,0.0679,22.4133,2.7094
AM_b	AM	B	Round_2_Replicate_3	-473.0891	960.1782	73.1457	224.2701	11.9365,93.5377,0.3866,1.5484,0.0668,22.067,2.9851
AM_b	AM	B	Round_4_Replicate_1	-473.099	960.198	72.5334	217.5876	11.7955,98.2639,0.4069,1.6608,0.0662,20.3593,2.5351
AM_b	AM	B	Round_3_Replicate_11	-473.3387	960.6774	73.8618	219.8589	10.7883,96.8551,0.5322,1.6393,0.0571,16.9584,0.338
IM_ae	IM	AE	Round_4_Replicate_19	-473.4386	960.8772	76.9286	63.5251	15.7286,38.4392,8.6457,8.0042,1.177,0.0001,4.9366
AM_b	AM	B	Round_2_Replicate_3	-473.5081	961.0162	74.3017	209.1363	11.491,98.5914,0.5346,1.7993,0.0598,16.0057,0.0747
AM_b	AM	B	Round_2_Replicate_8	-473.5345	961.069	73.9699	219.3238	10.325,94.9062,0.5802,1.6584,0.0547,16.4019,0.0003
SC_b	SC	B	Round_4_Replicate_5	-473.5417	961.0834	73.6203	1455.0209	0.8051,1.3476,0.0016,3.4737,1.3824,64.5793,0.0147
SI_ae	SI	AE	Round_3_Replicate_1	-475.5583	961.1166	79.7901	219.5235	6.1324,19.7427,10.5196,1.6039,0.1036
SI_ae	SI	AE	Round_4_Replicate_7	-475.5584	961.1168	79.8134	219.9115	6.1263,19.7643,10.4727,1.5985,0.1032
SI_ae	SI	AE	Round_4_Replicate_17	-475.5584	961.1168	79.8138	219.9628	6.1288,19.6901,10.4699,1.5973,0.1031
SI_ae	SI	AE	Round_3_Replicate_11	-475.5586	961.1172	79.789	219.6648	6.128,19.7495,10.5103,1.6032,0.1034
SI_ae	SI	AE	Round_4_Replicate_1	-475.5591	961.1182	79.7372	220.1978	6.1194,19.7085,10.4318,1.5948,0.1032
SI_ae	SI	AE	Round_3_Replicate_15	-475.5594	961.1188	79.8252	219.3654	6.1409,19.785,10.4961,1.6058,0.1034
SI_ae	SI	AE	Round_2_Replicate_10	-475.5594	961.1188	79.8623	219.4024	6.1375,19.7796,10.5361,1.6051,0.1035
SI_ae	SI	AE	Round_2_Replicate_8	-475.5597	961.1194	79.8405	219.8208	6.1261,19.7549,10.5154,1.599,0.1034
SI_ae	SI	AE	Round_4_Replicate_9	-475.5597	961.1194	79.8197	220.0805	6.1264,19.7079,10.4533,1.5956,0.103
SI_ae	SI	AE	Round_4_Replicate_17	-475.5598	961.1196	79.8648	219.9801	6.1304,19.6623,10.4891,1.597,0.103
AM_ae	AM	AE	Round_3_Replicate_12	-472.6635	961.327	74.9029	53.8914	18.2719,43.0213,19.6727,9.5535,1.3364,0.1613,0.0,14.5562
two_ep_ae	two_ep	AE	Round_4_Replicate_2	-470.6837	961.3674	68.6089	165.1252	2.0488,6.675,11.053,0.2607,2.1738,0.4279,0.0469,192.688,7.3323,0.2643
AM_ae	AM	AE	Round_2_Replicate_8	-472.7044	961.4088	75.1499	78.4819	12.6522,29.7745,13.5978,6.2143,0.9018,0.1128,0.0,22.8172
two_ep_ae	two_ep	AE	Round_4_Replicate_19	-470.7257	961.4514	68.7583	301.9957	0.5219,3.606,6.0527,4.1574,1.3043,0.2306,0.1283,195.8426,13.4118,0.5588
two_ep_ae	two_ep	AE	Round_4_Replicate_1	-470.9122	961.8244	68.5443	773.7112	0.1962,1.4442,2.3525,0.5979,0.4778,0.0808,0.0313,195.9698,33.4692,0.9938
two_ep_ae	two_ep	AE	Round_2_Replicate_9	-470.9303	961.8606	68.5784	457.7933	0.3437,2.3634,4.0874,4.5641,0.8589,0.1537,0.2336,198.5237,20.4686,0.0038
SI_ae_b	SI	AEB	Round_3_Replicate_7	-474.931	961.862	77.7809	223.4263	6.0973,20.0835,99.335,0.1185,1.5551,0.0978
SI_ae_b	SI	AEB	Round_3_Replicate_11	-474.9312	961.8624	77.6479	223.0034	6.1103,19.9786,99.3741,0.1186,1.5608,0.0979
SI_ae_b	SI	AEB	Round_2_Replicate_8	-474.932	961.864	77.5166	223.1277	6.1034,19.9558,99.3044,0.1182,1.5586,0.0982
SI_ae_b	SI	AEB	Round_2_Replicate_4	-474.9324	961.8648	77.7695	222.2839	6.1225,20.2614,98.3783,0.1183,1.5676,0.0986
SI_ae_b	SI	AEB	Round_4_Replicate_18	-474.9328	961.8656	77.4956	223.2774	6.0919,19.8919,99.2447,0.1194,1.5581,0.0984
SI_ae_b	SI	AEB	Round_4_Replicate_17	-474.933	961.866	77.5935	223.5557	6.0912,19.9362,98.6425,0.1189,1.5559,0.0978
SI_ae_b	SI	AEB	Round_3_Replicate_3	-474.9338	961.8676	77.699	224.4841	6.0831,19.8345,98.9401,0.1185,1.5407,0.0971
SI_ae_b	SI	AEB	Round_4_Replicate_10	-474.9341	961.8682	77.4684	222.1599	6.1101,19.982,98.788,0.1202,1.5759,0.0989
SI_ae_b	SI	AEB	Round_3_Replicate_18	-474.9346	961.8692	77.5709	223.1517	6.115,19.8324,99.676,0.1185,1.5559,0.0979
SI_ae_b	SI	AEB	Round_2_Replicate_16	-474.9347	961.8694	77.6025	224.3003	6.0843,19.8392,98.7187,0.1182,1.545,0.0971
AM_ae_b	AM	AEB	Round_4_Replicate_14	-472.2595	962.519	73.3735	103.0562	9.8756,22.903,98.4786,0.1728,4.4704,0.6655,0.0783,0.0,26.0687
two_ep_b	two_ep	B	Round_1_Replicate_15	-472.4396	962.8792	71.0458	323.5792	4.3554,3.8451,0.0932,1.8781,0.6539,1.2099,0.0744,8.5149,7.3908
AM_ae_b	AM	AEB	Round_3_Replicate_11	-472.4648	962.9296	71.9967	2726.2043	0.0746,0.8379,84.2284,0.4866,0.4429,0.1372,0.0045,192.0037,15.1416
two_ep_b	two_ep	B	Round_1_Replicate_17	-472.6524	963.3048	70.3934	175.7666	8.0127,9.1457,0.2036,2.3206,0.79,0.0814,0.0514,5.5637,2.3578
AM_ae_b	AM	AEB	Round_4_Replicate_17	-472.8487	963.6974	73.1883	2948.394	0.0697,0.7395,91.0292,0.5867,1.1088,0.13,0.0038,194.0369,0.2467
two_ep_ae_b	two_ep	AEB	Round_1_Replicate_19	-470.8565	963.713	70.9419	576.9964	0.2816,2.1209,3.0002,0.5002,4.9021,0.4394,0.3737,0.2776,0.7554,25.1527,3.0257
two_ep_b	two_ep	B	Round_2_Replicate_6	-473.0171	964.0342	73.1912	1533.2698	0.7982,1.1115,0.017,0.1157,0.8041,0.3537,0.1654,65.3642,5.9068
